,Customer Name,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
0,a,1,Male,19,15,39,0
1,b,2,Male,21,15,81,5
2,c,3,Female,20,16,6,0
3,d,4,Female,23,16,77,5
4,e,5,Female,31,17,40,0
5,f,6,Female,22,17,76,5
6,g,7,Female,35,18,6,0
7,h,8,Female,23,18,94,5
8,i,9,Male,64,19,3,0
9,j,10,Female,30,19,72,5
10,k,11,Male,67,19,14,0
11,l,12,Female,35,19,99,5
12,m,13,Female,58,20,15,0
13,n,14,Female,24,20,77,5
14,o,15,Male,37,20,13,0
15,p,16,Male,22,20,79,5
16,q,17,Female,35,21,35,0
17,r,18,Male,20,21,66,5
18,s,19,Male,52,23,29,0
19,t,20,Female,35,23,98,5
20,u,21,Male,35,24,35,0
21,v,22,Male,25,24,73,5
22,w,23,Female,46,25,5,0
23,x,24,Male,31,25,73,5
24,y,25,Female,54,28,14,0
25,z,26,Male,29,28,82,5
26,a1,27,Female,45,28,32,0
27,a2,28,Male,35,28,61,5
28,a3,29,Female,40,29,31,0
29,a4,30,Female,23,29,87,5
30,a5,31,Male,60,30,4,0
31,a6,32,Female,21,30,73,5
32,a7,33,Male,53,33,4,0
33,a8,34,Male,18,33,92,5
34,a9,35,Female,49,33,14,0
35,a10,36,Female,21,33,81,5
36,a11,37,Female,42,34,17,0
37,a12,38,Female,30,34,73,5
38,a13,39,Female,36,37,26,0
39,a14,40,Female,20,37,75,5
40,a15,41,Female,65,38,35,0
41,a16,42,Male,24,38,92,5
42,a17,43,Male,48,39,36,0
43,a18,44,Female,31,39,61,1
44,a19,45,Female,49,39,28,0
45,a20,46,Female,24,39,65,5
46,a21,47,Female,50,40,55,1
47,a22,48,Female,27,40,47,1
48,a23,49,Female,29,40,42,1
49,a24,50,Female,31,40,42,1
50,a25,51,Female,49,42,52,1
51,a26,52,Male,33,42,60,1
52,a27,53,Female,31,43,54,1
53,a28,54,Male,59,43,60,1
54,a29,55,Female,50,43,45,1
55,a30,56,Male,47,43,41,1
56,a31,57,Female,51,44,50,1
57,a32,58,Male,69,44,46,1
58,a33,59,Female,27,46,51,1
59,a34,60,Male,53,46,46,1
60,a35,61,Male,70,46,56,1
